order_id,order_date,order_time,customer_name,phone_number,country,product_id,product_name,quantity,unit_price,payment_mode,payment_status,amount_paid,transaction_id
ORD2026C0018,01-06-2026,17:44:00,Rohan Joshi,+1 9916281239,US,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0018
ORD2026C0019,01-06-2026,18:15:00,Diya Kumar,+1 9884705982,US,P002,Ergonomic Wireless Mouse,2,49.99,PAYPAL,COMPLETED,99.98,TXN2026C0019
ORD2026C0020,01-06-2026,18:41:00,Vihaan Joshi,+65 92345794,SG,P003,"4K Ultra HD Monitor 27""",1,329.99,CARD,COMPLETED,329.99,TXN2026C0020
ORD2026C0021,01-06-2026,19:09:00,Rohan Mehta,+1 7151044916,US,P001,Wireless Mechanical Keyboard,3,89.99,CARD,COMPLETED,269.97,TXN2026C0021
ORD2026C0022,01-06-2026,19:46:00,Isha Sharma,+91 8311510225,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0022
ORD2026C0023,01-06-2026,20:03:00,Meera Reddy,+91 7609198075,IN,P001,Wireless Mechanical Keyboard,1,89.99,CARD,COMPLETED,89.99,TXN2026C0023
ORD2026C0024,01-06-2026,20:38:00,Sai Mehta,+91 7529230130,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0024
ORD2026C0025,01-06-2026,21:16:00,Isha Kumar,+91 9981181534,IN,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0025
ORD2026C0026,01-06-2026,21:45:00,Sai Kumar,+65 99050657,SG,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0026
ORD2026C0027,01-06-2026,22:04:00,Meera Joshi,+1 8125764588,US,P001,Wireless Mechanical Keyboard,3,89.99,NETBANKING,COMPLETED,269.97,TXN2026C0027
ORD2026C0028,01-06-2026,22:36:00,Rohan Mehta,+65 94256722,SG,P002,Ergonomic Wireless Mouse,3,49.99,NETBANKING,COMPLETED,149.97,TXN2026C0028
ORD2026C0029,01-06-2026,23:07:00,Ananya Gupta,+91 8759774961,IN,P001,Wireless Mechanical Keyboard,2,89.99,UPI,COMPLETED,179.98,TXN2026C0029
ORD2026C0030,01-06-2026,23:41:00,Ananya Joshi,+65 85354219,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,NETBANKING,COMPLETED,989.97,TXN2026C0030
ORD2026C0031,02-06-2026,00:14:00,Isha Singh,+65 84723995,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0031
ORD2026C0032,02-06-2026,00:52:00,Vihaan Joshi,+1 7385982221,US,P001,Wireless Mechanical Keyboard,2,89.99,PAYPAL,COMPLETED,179.98,TXN2026C0032
ORD2026C0033,02-06-2026,01:34:00,Arjun Singh,+65 86575160,SG,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0033
ORD2026C0034,02-06-2026,02:12:00,Aarav Sharma,+91 9664152498,IN,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0034
ORD2026C0035,02-06-2026,02:34:00,Aarav Verma,+1 9391849499,US,P003,"4K Ultra HD Monitor 27""",1,329.99,NETBANKING,COMPLETED,329.99,TXN2026C0035
ORD2026C0036,02-06-2026,02:57:00,Arjun Gupta,+91 9980788007,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,UPI,COMPLETED,659.98,TXN2026C0036
ORD2026C0037,02-06-2026,03:29:00,Vihaan Mehta,+65 98782951,SG,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0037
ORD2026C0038,02-06-2026,04:02:00,Reyansh Gupta,+65 98445696,SG,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0038
ORD2026C0039,02-06-2026,04:42:00,Meera Reddy,+65 90829172,SG,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0039
ORD2026C0040,02-06-2026,05:24:00,Diya Singh,+1 8727328394,US,P001,Wireless Mechanical Keyboard,3,89.99,CARD,COMPLETED,269.97,TXN2026C0040
ORD2026C0041,02-06-2026,05:42:00,Rohan Mehta,+1 9370770966,US,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0041
ORD2026C0042,02-06-2026,06:27:00,Isha Reddy,+65 87004170,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0042
ORD2026C0043,02-06-2026,06:49:00,Reyansh Kumar,+1 7056061645,US,P001,Wireless Mechanical Keyboard,2,89.99,NETBANKING,COMPLETED,179.98,TXN2026C0043
ORD2026C0044,02-06-2026,07:10:00,Vihaan Verma,+91 9969031802,IN,P002,Ergonomic Wireless Mouse,2,49.99,CARD,COMPLETED,99.98,TXN2026C0044
ORD2026C0045,02-06-2026,07:28:00,Diya Gupta,+1 9706597688,US,P003,"4K Ultra HD Monitor 27""",1,329.99,NETBANKING,COMPLETED,329.99,TXN2026C0045
ORD2026C0046,02-06-2026,08:08:00,Ananya Singh,+1 8925997487,US,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0046
ORD2026C0047,02-06-2026,08:47:00,Sai Sharma,+65 84141041,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0047
ORD2026C0048,02-06-2026,09:16:00,Sai Joshi,+91 8339024220,IN,P001,Wireless Mechanical Keyboard,1,89.99,CARD,COMPLETED,89.99,TXN2026C0048
ORD2026C0049,02-06-2026,10:01:00,Meera Sharma,+1 9383753115,US,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0049
ORD2026C0050,02-06-2026,10:27:00,Rohan Sharma,+91 7432963106,IN,P002,Ergonomic Wireless Mouse,1,49.99,NETBANKING,COMPLETED,49.99,TXN2026C0050
