order_id,order_date,customer_name,phone_number,country,product_id,product_name,quantity,unit_price,payment_mode,payment_status,amount_paid,transaction_id
ORD2026C0020,01-06-2026,Meera Sharma,+91 7088604838,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0021
ORD2026C0021,01-06-2026,Reyansh Patel,+1 7112424901,US,P002,Ergonomic Wireless Mouse,2,49.99,CARD,COMPLETED,99.98,TXN2026C0022
ORD2026C0022,01-06-2026,Arjun Patel,+91 8142539526,IN,P003,"4K Ultra HD Monitor 27""",1,329.99,NETBANKING,COMPLETED,329.99,TXN2026C0023
ORD2026C0023,01-06-2026,Vihaan Singh,+1 9033384487,US,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0024
ORD2026C0024,01-06-2026,Ananya Singh,+1 8819489169,US,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0025
ORD2026C0025,01-06-2026,Rohan Gupta,+91 7086426940,IN,P001,Wireless Mechanical Keyboard,1,89.99,NETBANKING,COMPLETED,89.99,TXN2026C0026
ORD2026C0026,01-06-2026,Ananya Gupta,+1 9354462034,US,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0027
ORD2026C0027,01-06-2026,Reyansh Patel,+91 8708969468,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0028
ORD2026C0028,01-06-2026,Aarav Singh,+1 9240301599,US,P001,Wireless Mechanical Keyboard,1,89.99,CARD,COMPLETED,89.99,TXN2026C0029
ORD2026C0029,01-06-2026,Aarav Verma,+91 8949281630,IN,P002,Ergonomic Wireless Mouse,3,49.99,NETBANKING,COMPLETED,149.97,TXN2026C0030
ORD2026C0021,02-06-2026,Arjun Verma,+91 8157077033,IN,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0031
ORD2026C0030,02-06-2026,Diya Mehta,+91 9209825372,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,UPI,COMPLETED,659.98,TXN2026C0032
ORD2026C0031,02-06-2026,Isha Mehta,+1 7317981814,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0033
ORD2026C0032,02-06-2026,Vihaan Mehta,+91 7487031136,IN,P003,"4K Ultra HD Monitor 27""",1,329.99,UPI,COMPLETED,329.99,TXN2026C0034
ORD2026C0033,02-06-2026,Vihaan Verma,+65 89061255,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0035
ORD2026C0034,02-06-2026,Rohan Gupta,+91 7889509827,IN,P002,Ergonomic Wireless Mouse,2,49.99,NETBANKING,COMPLETED,99.98,TXN2026C0036
ORD2026C0035,02-06-2026,Aarav Joshi,+65 92197912,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0037
ORD2026C0036,02-06-2026,Ananya Patel,+65 95425484,SG,P001,Wireless Mechanical Keyboard,1,89.99,PAYPAL,COMPLETED,89.99,TXN2026C0038
ORD2026C0037,02-06-2026,Ananya Gupta,+1 8242541083,US,P001,Wireless Mechanical Keyboard,2,89.99,PAYPAL,COMPLETED,179.98,TXN2026C0039
ORD2026C0038,02-06-2026,Rohan Das,+65 84306243,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,NETBANKING,COMPLETED,989.97,TXN2026C0040
ORD2026C0039,02-06-2026,Isha Singh,+1 9725304079,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0041
ORD2026C0040,02-06-2026,Ananya Joshi,+91 8817425900,IN,P001,Wireless Mechanical Keyboard,3,89.99,PAYPAL,COMPLETED,269.97,TXN2026C0042
ORD2026C0041,02-06-2026,Vihaan Verma,+91 9604104670,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0043
ORD2026C0042,02-06-2026,Ananya Kumar,+65 93627171,SG,P001,Wireless Mechanical Keyboard,1,89.99,NETBANKING,COMPLETED,89.99,TXN2026C0044
ORD2026C0043,02-06-2026,Rohan Verma,+65 85823217,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0045
ORD2026C0044,02-06-2026,Sai Sharma,+65 92816616,SG,P001,Wireless Mechanical Keyboard,2,89.99,PAYPAL,COMPLETED,179.98,TXN2026C0046
ORD2026C0045,02-06-2026,Aarav Patel,+91 7217149540,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0047
ORD2026C0046,02-06-2026,Meera Gupta,+1 7159740910,US,P002,Ergonomic Wireless Mouse,2,49.99,NETBANKING,COMPLETED,99.98,TXN2026C0048
ORD2026C0047,02-06-2026,Arjun Reddy,+91 7514387378,IN,P001,Wireless Mechanical Keyboard,3,89.99,NETBANKING,COMPLETED,269.97,TXN2026C0049
ORD2026C0048,02-06-2026,Reyansh Verma,+91 7131164354,IN,P001,Wireless Mechanical Keyboard,2,89.99,NETBANKING,COMPLETED,179.98,TXN2026C0050
