order_id,customer_name,order_time,phone_number,country,product_id,product_name,quantity,unit_price,payment_mode,payment_status,amount_paid,transaction_id,order_date
ORD2026C0022,Arjun Patel,20:09:00,+91 8142539526,IN,P003,"4K Ultra HD Monitor 27""",1,329.99,NETBANKING,COMPLETED,329.99,TXN2026C0023,2026-06-01
ORD2026C0023,Vihaan Singh,20:34:00,+1 9033384487,US,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0024,2026-06-01
ORD2026C0024,Ananya Singh,21:05:00,+1 8819489169,US,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0025,2026-06-01
ORD2026C0025,Rohan Gupta,21:44:00,+91 7086426940,IN,P001,Wireless Mechanical Keyboard,1,89.99,NETBANKING,COMPLETED,89.99,TXN2026C0026,2026-06-01
ORD2026C0026,Ananya Gupta,22:28:00,+1 9354462034,US,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0027,2026-06-01
ORD2026C0027,Reyansh Patel,22:57:00,+91 8708969468,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0028,2026-06-01
ORD2026C0028,Aarav Singh,23:28:00,+1 9240301599,US,P001,Wireless Mechanical Keyboard,1,89.99,CARD,COMPLETED,89.99,TXN2026C0029,2026-06-01
ORD2026C0029,Aarav Verma,23:58:00,+91 8949281630,IN,P002,Ergonomic Wireless Mouse,3,49.99,NETBANKING,COMPLETED,149.97,TXN2026C0030,2026-06-01
ORD2026C0021,Arjun Verma,00:23:00,+91 8157077033,IN,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0031,2026-06-02
ORD2026C0030,Diya Mehta,00:50:00,+91 9209825372,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,UPI,COMPLETED,659.98,TXN2026C0032,2026-06-02
ORD2026C0031,Isha Mehta,01:19:00,+1 7317981814,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0033,2026-06-02
ORD2026C0032,Vihaan Mehta,01:36:00,+91 7487031136,IN,P003,"4K Ultra HD Monitor 27""",1,329.99,UPI,COMPLETED,329.99,TXN2026C0034,2026-06-02
ORD2026C0033,Vihaan Verma,01:57:00,+65 89061255,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0035,2026-06-02
ORD2026C0034,Rohan Gupta,02:25:00,+91 7889509827,IN,P002,Ergonomic Wireless Mouse,2,49.99,NETBANKING,COMPLETED,99.98,TXN2026C0036,2026-06-02
ORD2026C0035,Aarav Joshi,03:04:00,+65 92197912,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0037,2026-06-02
ORD2026C0036,Ananya Patel,03:43:00,+65 95425484,SG,P001,Wireless Mechanical Keyboard,1,89.99,PAYPAL,COMPLETED,89.99,TXN2026C0038,2026-06-02
ORD2026C0037,Ananya Gupta,04:19:00,+1 8242541083,US,P001,Wireless Mechanical Keyboard,2,89.99,PAYPAL,COMPLETED,179.98,TXN2026C0039,2026-06-02
ORD2026C0038,Rohan Das,05:02:00,+65 84306243,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,NETBANKING,COMPLETED,989.97,TXN2026C0040,2026-06-02
ORD2026C0039,Isha Singh,05:17:00,+1 9725304079,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0041,2026-06-02
ORD2026C0040,Ananya Joshi,05:33:00,+91 8817425900,IN,P001,Wireless Mechanical Keyboard,3,89.99,PAYPAL,COMPLETED,269.97,TXN2026C0042,2026-06-02
ORD2026C0041,Vihaan Verma,06:16:00,+91 9604104670,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0043,2026-06-02
ORD2026C0042,Ananya Kumar,06:38:00,+65 93627171,SG,P001,Wireless Mechanical Keyboard,1,89.99,NETBANKING,COMPLETED,89.99,TXN2026C0044,2026-06-02
ORD2026C0043,Rohan Verma,07:09:00,+65 85823217,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0045,2026-06-02
ORD2026C0044,Sai Sharma,07:45:00,+65 92816616,SG,P001,Wireless Mechanical Keyboard,2,89.99,PAYPAL,COMPLETED,179.98,TXN2026C0046,2026-06-02
ORD2026C0045,Aarav Patel,08:09:00,+91 7217149540,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0047,2026-06-02
ORD2026C0046,Meera Gupta,08:51:00,+1 7159740910,US,P002,Ergonomic Wireless Mouse,2,49.99,NETBANKING,COMPLETED,99.98,TXN2026C0048,2026-06-02
ORD2026C0047,Arjun Reddy,09:06:00,+91 7514387378,IN,P001,Wireless Mechanical Keyboard,3,89.99,NETBANKING,COMPLETED,269.97,TXN2026C0049,2026-06-02
ORD2026C0048,Reyansh Verma,09:29:00,+91 7131164354,IN,P001,Wireless Mechanical Keyboard,2,89.99,NETBANKING,COMPLETED,179.98,TXN2026C0050,2026-06-02
